title,money,description,url,images
3 Piece - Printed Embroidered Suit - 42402130,"Rs. 10,490.00 Rs. 8,392.00","Endless look from our trendiest printed embroidered three-piece from the latest unstitched summer collection.
Product Detail:
Ethnic Style Shirt with Dupatta and Trousers
SHIRT
Printed Slub Cambric Shirt: 3 Meter
Embroidered Front + Border
Fabric: Cambric
Color: Light Yellow
DUPATTA
Printed Fancy Brochia Dupatta: 2.5 Meter
Fabric: Fancy Brochia
Color: Light Yellow
TROUSERS
Solid Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: Light Yellow
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42402130,"image_1_1_1.jpg, image_1_1_2.jpg, image_1_1_3.jpg"
Embroidered Jacket - AS24-73 - XS,"Rs. 5,650.00 Rs. 3,390.00","Dress up like a queen with this embroidered jacket from the latest pret summer collection.
Product Detail
Embroidered Jacket
Jacket
Front Open Embroidered Jacket
Fabric: Cambric
Color: Peach
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/collections/women/products/as24-73,"image_1_2_1.jpg, image_1_2_2.jpg, image_1_2_3.jpg"
3 Piece - Embroidered Suit - 42401796,"Rs. 10,770.00 Rs. 7,000.50","Make a bold fashion statement with this embroidered three-piece from the latest unstitched summer collection.
Product Detail:
Banarsi Style Shirt with Dupatta and Trousers
SHIRT
Solid Satin Shirt: 3 Meter
Embroidered Front + Border
Fabric: Satin
Color: Black
DUPATTA
Fancy Banarsi Dupatta: 2.5 Meter
Fabric: Banarsi
Color: Black
TROUSERS
Solid Satin Trousers: 2.5 Meter
Fabric: Satin
Color: Black
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42401796,"image_1_3_1.jpg, image_1_3_2.jpg, image_1_3_3.jpg"
2 Piece - Printed Suit - 42401776,"Rs. 4,610.00 Rs. 2,996.50","Make your day marvelous by wearing this printed two-piece from the latest unstitched summer collection.
Product Detail:
Watercolor Textures With Stencil Style Patterns Shirt with Dupatta
SHIRT
Printed Super Fine Lawn Shirt: 3 Meter
Fabric: Lawn
Color: Pink
DUPATTA
Digital Printed Crinkle Chiffon Dupatta: 2.5 Meter
Fabric: Crinkle Chiffon
Color: Multi
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42401776,"image_1_4_1.jpg, image_1_4_2.jpg, image_1_4_3.jpg"
1 Piece - Digital Printed Loose Fabric - 42403060 - Shirt / 3 / 3,Rs. 670.00 Rs. 436.00,"Unveil your summer story with the timeless elegance of our digital printed one-piece from the latest freedom to buy summer collection.
Product Detail:
Floral Printed Style Shirt
SHIRT
Shirt: 3 Meter (RS 1090/-Mtr)
Fabric: Fancy Strip
Color: Off White
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42403060,"image_1_5_1.jpg, image_1_5_2.jpg, image_1_5_3.jpg"
3 Piece - Printed Loose Fabric - 42403001 - Shirt / 3 / 3,Rs. 670.00 Rs. 436.00,"Embrace the season with our printed three-piece from the latest freedom to buy summer collection.
Product Detail:
Block Printed Style Shirt with Dupatta and Trousers
SHIRT
Shirt: 3 Meter (RS 730/-Mtr)
Fabric: Lawn
Color: Gold
DUPATTA
Dupatta: 2.5 Meter (RS 750/-Mtr)
Fabric: Voile
Color: Sea Green & Gold
TROUSERS
Trousers: 2.5 Meter (RS 650/-Mtr)
Fabric: Cambric
Color: Gold
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42403001,"image_1_6_1.jpg, image_1_6_2.jpg, image_1_6_3.jpg"
1 Piece - Digital Printed Loose Fabric - 42403217 - Shirt / 3 / 3,"Rs. 1,120.00 Rs. 728.00","Give occasion dressing a new age in this digital printed one-piece from the latest freedom to buy summer collection.
Product Detail:
Ethnic Flower Jaal Printed Style Shirt 
SHIRT
Shirt: 3 Meter (RS 800/-Mtr)
Fabric: Dobby Lawn
Color: Off White

Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/products/42403217,"image_1_7_1.jpg, image_1_7_2.jpg, image_1_7_3.jpg"
2 Piece - Printed Suit - 42401758,"Rs. 3,070.00 Rs. 1,995.50","Delicate your look with this printed two-piece from the latest unstitched summer collection.
Product Detail:
Ceramic Pots Printed Style Shirt with Trousers
SHIRT
Printed Super Fine Lawn Shirt: 3 Meter
Fabric: Lawn
Color: Yellow
TROUSERS
Printed Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: Yellow
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42401758,"image_1_8_1.jpg, image_1_8_2.jpg, image_1_8_3.jpg"
3 Piece - Printed Loose Fabric - 42403256 - Shirt / 3 / 3,Rs. 455.00 - Rs. 527.00,"Revitalize your casual look with this printed three-piece from the latest freedom to buy summer collection.
Product Detail:
Flowers & Textures Printed Style Shirt with Dupatta and Trousers
SHIRT
Shirt: 3 Meter (RS 750/-Mtr)
Fabric: Lawn
Color: Black
DUPATTA
Dupatta: 2.5 Meter (RS 780/-Mtr)
Fabric: Voile
Color: Black
TROUSERS
Trousers: 2.5 Meter (RS 680/-Mtr)
Fabric: Cambric
Color: ﻿Black
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/products/42403256,"image_1_9_1.jpg, image_1_9_2.jpg, image_1_9_3.jpg"
3 Piece - Digital Printed Loose Fabric - 42403315 - Trouser / 2.5 / 2.5,Rs. 880.00 Rs. 572.00,"Level up your wardrobe with gorgeous digital printed three-piece from the latest freedom to buy summer collection.
Product Detail:
Bougainvillea Plants Patterns In Printed Form Shirt with Dupatta and Trousers 
SHIRT
Shirt: 3 Meter (RS 780/-Mtr)
Fabric: Lawn
Color: Green
DUPATTA
Dupatta: 2.5 Meter (RS 800/-Mtr)
Fabric: Voile
Color: Green
TROUSERS
Trousers: 2.5 Meter (RS 680/-Mtr)
Fabric: Cambric
Color: Green
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/products/42403315,"image_1_10_1.jpg, image_1_10_2.jpg, image_1_10_3.jpg"
Embroidered Trousers - PE24-367 - XS,"Rs. 2,560.00 Rs. 1,536.00","Look and feel your best by wearing this embroidered trousers from the latest pret summer collection.
Product Detail
Embroidered Trousers
Trousers
Straight Trousers With Embroidered Hem
Fabric: Cambric
Color: White
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/collections/women/products/pe24-367,"image_1_11_1.jpg, image_1_11_2.jpg, image_1_11_3.jpg"
2 Piece - Printed Suit - PE24-344 - XS,"Rs. 4,570.00 Rs. 2,742.00","Illustrate your style with this printed two-piece suit from the latest pret summer collection. 
Product Detail
Printed Shirt With Trousers
Shirt
Band Neckline With Slit, Printed Shirt
Fabric: Cambric
Color: Multi
Trousers
Printed Straight Trousers
Fabric: Cambric
Color: Multi
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/products/pe24-344,"image_1_12_1.jpg, image_1_12_2.jpg, image_1_12_3.jpg"
2 Piece - Dyed Embroidered Suit - 42402143,"Rs. 4,290.00 Rs. 3,432.00","Look radiant with this dyed embroidered two-piece from the latest unstitched summer collection.
Product Detail:
Satin Embroidered Style Shirt with Trousers
SHIRT
Solid Cambric Shirt: 3 Meter
Embroidered Front + Sleeves + Border
Fabric: Cambric
Color: Off White
TROUSERS
Solid Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: Off White
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42402143,"image_1_13_1.jpg, image_1_13_2.jpg, image_1_13_3.jpg"
1 Piece - Printed Loose Fabric - 42403084 - Dupatta / 2.5 / 2.5,Rs. 670.00 Rs. 436.00,"Indulge in the grandeur of fashion, making a graceful statement with our printed one-piece from the latest freedom to buy summer collection.
Product Detail:
Gradient Printed Style Dupatta
DUPATTA
Dupatta: 2.5 Meter (RS 750/-Mtr)
Fabric: Voile
Color: Pink & Orange
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/products/42403084,"image_1_14_1.jpg, image_1_14_2.jpg, image_1_14_3.jpg"
