title,price,image_link,description
CAMBRIC CULOTTES,"Rs.2,190.00",//pk.sapphireonline.pk/cdn/shop/files/3SSGW24V210T_4.jpg?v=1723698384,
3 PIECE - EMBROIDERED JACQUARD SUIT,"Rs.8,590.00",//pk.sapphireonline.pk/cdn/shop/files/U3PEST24V512_1.jpg?v=1723032535,"Create a regal look this season in our magenta, three-piece featuring an embroidered extra weft jacquard shirt, dyed extra weft jacquard dupatta, and dyed cambric trousers.

Unstitched 3-Piece

Shirt:
Dyed Extra Weft Jacquard Shirt 3.35M
Embroidered Neckline 1PC
Embroidered Hem & Sleeves Border 3PC
Fabric: Extra Weft Jacquard
Colour: Magenta

Dupatta:
Dyed Extra Weft Jacquard Dupatta 2.5M
Fabric: Extra Weft Jacquard
Colour: Magenta

Trousers:
Dyed Cambric Trouser 2.5M
Fabric: Cambric
Colour: Magenta"
EMBROIDERED JACQUARD FLARED PANTS,"Rs.2,790.00",//pk.sapphireonline.pk/cdn/shop/files/2SDF24V2108T_3.jpg?v=1723701285,
PRINTED CAMBRIC SHIRT,"Rs.2,690.00",//pk.sapphireonline.pk/cdn/shop/files/03PBDW24V110_2.jpg?v=1723703540,
EMBROIDERED DOBBY SHIRT,"Rs.4,590.00",//pk.sapphireonline.pk/cdn/shop/files/0PFFSW24V216_2.jpg?v=1726044542,
EMBROIDERED YARD DYED SHIRT,"Rs.7,590.00",//pk.sapphireonline.pk/cdn/shop/files/2SDF24V288ST_6.jpg?v=1723702979,
PRINTED NET DUPATTA,"Rs.2,290.00",//pk.sapphireonline.pk/cdn/shop/files/2PRDW24V220D_3.jpg?v=1726042498,
PRINTED COTTON VISCOSE SHIRT,"Rs.2,690.00",//pk.sapphireonline.pk/cdn/shop/files/0PBDYW24V212_2.jpg?v=1723015158,
RIBBED VEST,"Rs.1,990.00",//pk.sapphireonline.pk/cdn/shop/files/WTOP24V50057_1.jpg?v=1726058324,"Ribbed vest with round neck.
Details:
Colour: Bright Orange
Fabric: 95% Cotton 5% Lycra
Size & Fit
Model Height: 5 Feet 4 Inches
Model Wears: S"
OVERSIZED T-SHIRT,"Rs.2,290.00",//pk.sapphireonline.pk/cdn/shop/files/WTOP24V50063_1.jpg?v=1726058226,"Oversized T-shirt with round neck and short sleeves.
Details:
Colour: Bronze
Fabric: 100% Cotton
Size & Fit
Model Height: 5 Feet 4 Inches
Model Wears: S"
PRINTED CAMBRIC CULOTTES,"Rs.1,990.00",//pk.sapphireonline.pk/cdn/shop/files/3PBDW24V111T_3.jpg?v=1723703452,
